candidate_id,status,source,platform,name,url,date_range,nights,location,lat,lng,price_total,price_per_person,price_per_person_per_night,budget_under_500pp,rating,review_count,property_type,private_level,child_potential_0_10,quiet_score_0_10,review_evidence_0_10,beach_fit_0_10,transfer_score_0_10,budget_score_0_10,overall_score_0_10,alc_km_est,alc_drive_min_est,vlc_km_est,vlc_drive_min_est,airport_distance_method,pool_type,whole_place_evidence,kitchen,air_conditioning,parking,terrace_or_balcony,family_red_flags,quiet_evidence,review_evidence,crawl_status,needs_manual_input,raw_markdown_path,raw_json_path,screenshot_path,excluded,exclusion_reason,notes,last_updated
cand_381adbf59c41,shortlist,Booking.com,booking,Apartamento Saul de Tarso,https://www.booking.com/hotel/es/apartamento-saul.html,2026-09-04 to 2026-09-13,9,Beniarbeig,38.822375,-0.005844,559.62,279.81,31.09,true,not_available,not_available,apartment,6,2,7,1,3,6.5,10,6.15,94.6,76,104.2,83,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,false,none,Budget fit but inland and weak beach profile,2026-07-02
cand_474cef30ba50,shortlist,Booking.com,booking,Apartment Mirador de Altea by Interhome,https://www.booking.com/hotel/es/apartment-mirador-de-altea-by-interhome.html,2026-09-04 to 2026-09-13,9,Altea,38.63632,-0.023002,827.45,413.73,45.97,true,8.0,10,apartment,5.5,2.5,7.2,4,7.4,8,8,6.83,75,60,126.4,101,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,false,none,Good Altea compromise but shared complex risk,2026-07-02
cand_a73f1df279f8,shortlist,Booking.com,booking,Margarida holiday bungalow,https://www.booking.com/hotel/es/margarida-holiday-bungalow-in-peaceful-surroundings-in-benitachell.html,2026-09-04 to 2026-09-11,7,Benitatxell Cumbre,38.717859,0.173084,908.38,454.19,64.88,true,8.2,7,holiday bungalow,7.2,2,8.5,3,9,5.5,7,7.22,98.4,79,126.3,101,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,false,none,Best cove profile under 1000 EUR if 7 nights okay,2026-07-02
cand_270749e7b8b8,shortlist,Booking.com,booking,Apartamento Benitachell en Cumbres del Sol,https://www.booking.com/hotel/es/pueblo-de-la-paz-el-poble-nou-de-benitatxell-benitachell.html,2026-09-04 to 2026-09-11,7,Cumbre del Sol,38.717336,0.172926,882.00,441,63,true,not_available,not_available,apartment,5.8,2.5,7.8,1.5,9,5.5,8,6.72,98.3,79,126.4,101,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,false,none,Strong Cumbre value but weak review evidence,2026-07-02
cand_5ce3884b0af8,shortlist,Booking.com,booking,Holiday Home Residencial Casanova by Interhome,https://www.booking.com/hotel/es/holiday-home-residencial-casanova-by-interhome.html,2026-09-04 to 2026-09-11,7,Calp,38.660285,0.062501,839.80,419.9,59.99,true,10,1,holiday home,7,2,7,1,6.6,7.2,8,6.66,84.2,67,127.3,102,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,false,none,Good price holiday home but only one review,2026-07-02
cand_dc9228b87a4e,backup,Booking.com,booking,Can Lluna,https://www.booking.com/hotel/es/can-lluna.html,2026-09-04 to 2026-09-13,9,Tarbena,38.694026,-0.103157,932.77,466.38,51.82,true,9.7,14,holiday home,8,1.5,9,5,2,7.5,7,6.96,74.5,60,116,93,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,false,none,Quiet and under budget but inland not beach fit,2026-07-02
cand_7230785304d7,risk,Booking.com,booking,Casa Verde Rental Apartment,https://www.booking.com/hotel/es/casa-verde-rental-apartment.html,2026-09-04 to 2026-09-13,9,Cumbre del Sol,38.718103,0.172693,972.00,486,54,true,10,2,apartment,5.5,6,7.8,1.5,9,5.5,7,0,98.4,79,126.3,101,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,true,family_no_go,Good location but excluded by prior detail-risk evidence,2026-07-02
cand_daaf06c3b918,risk,Booking.com,booking,Pasion Junto al mar,https://www.booking.com/hotel/es/valerya-junto-al-mar.html,2026-09-04 to 2026-09-13,9,Calp,38.650853,0.075664,997.00,498.5,55.39,true,not_available,not_available,apartment,4.5,4,4.5,1,3.5,7,7,4.83,84.6,68,129,103,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,false,none,Budget edge but weak quiet-cove profile,2026-07-02
cand_23f3f5d13ffd,excluded,Booking.com,booking,Bungalow la Cala,https://www.booking.com/hotel/es/bungalow-la-cala.html,2026-09-04 to 2026-09-11,7,Benitatxell,38.717983,0.17375,930.00,465,66.43,true,9.2,21,bungalow,0,10,0,7,9,5.5,7,0,98.4,79,126.4,101,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,true,family_no_go,Hard exclude despite good location,2026-07-02
cand_64465436a795,excluded,Booking.com,booking,Apartment Jardines de Altea Hills-6 by Interhome,https://www.booking.com/hotel/es/apartment-jardines-de-altea-hills-6-by-interhome.html,2026-09-04 to 2026-09-13,9,Altea Hills,38.642524,-0.018617,977.55,488.77,54.31,true,8.5,13,apartment,0,10,0,4,7.5,8,7,0,75.9,61,125.8,101,"coordinate approximation, not live Google Maps",unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,manual,false,,,,true,family_no_go,Hard exclude because child facility listed,2026-07-02
