link_id,status,submitted_by,source_url,platform,date_range_hint,notes,priority,crawl_status,needs_manual_input,reviewed,last_updated
,new,Mati,https://www.booking.com/hotel/es/villamar-luxury-apart.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Villajoyosa; Villamar Luxury Apart; 822.84 EUR; 9.3/6; pool/free parking/AC; crawl exact property",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/aparthotel-costera-la-mar.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Villajoyosa; Wave Apartments; 871.09 EUR; 7.5/1614; family room flag; crawl but likely risk",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/niu-line.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Villajoyosa; NIU Line; 1002.40 EUR; 9.1/443; beachfront/pool but family room flag; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/eurotennis-405-1.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Villajoyosa; Eurotennis Paradise Beach Apartments; 983.40 EUR; 7.3/103; playground/waterpark flags; likely no-go",low,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/posidonio-old-town-apartment.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Villajoyosa; POSIDONIO old town apartment; 1026.77 EUR; 8.7/37; family room/pets; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/alojamientos-la-vila-mayor-36-la-vila-joiosa.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Villajoyosa; Alojamientos La Vila Mayor 36; 1040.00 EUR; 8.1/196; free parking/AC; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/bulevar-rooftop-apartment.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Villajoyosa; BULEVAR rooftop apartment; 1065.97 EUR; 8.8/9; terrace/pool but family room/pets; budget edge",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/casa-hermes.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Villajoyosa; Casa Hermes; 875.00 EUR; 9.1/42; old town; AC; no obvious kid flag in returned facilities",high,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/casa-con-buenas-vistas-altea.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; CASA CON BUENAS VISTAS; 1176.00 EUR; 9.2/19; beachfront/AC; above budget but strong",medium,,true,false,2026-07-02
,new,Mati,https://www.booking.com/hotel/es/bonito-atico-con-terraza-altea.html?aid=2438770&checkin=2026-09-08&checkout=2026-09-16&no_rooms=1&group_adults=2&selected_currency=EUR,booking,2026-09-08 to 2026-09-16,"Seed Altea; Bonito atico con terraza; 901.00 EUR; 8.8/51; terrace/free parking/AC; crawl high",high,,true,false,2026-07-02
